what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1322531677987
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1322531677987
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322531677987
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322531677987
java.vm.specification.version,sysinfo,,,"1.0",1322531677987
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1322531677987
java.vm.version,sysinfo,,,"20.1-b02",1322531677987
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project Paper.",1322531679801
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1322531695248
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1322531701967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322533391474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322568990023
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1322568991984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322569006282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322869321090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322869322054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322944689093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322944690954
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639035016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639110990
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1323639126121
opened,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1323639127343
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1323639127384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639127425
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1323639127529
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323639128952
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1323639129687
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1323639130840
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1323639131446
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1323639131555
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1323639134769
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1323639136531
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1323639137035
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323639138493
started,bundle,org.eclipse.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.ui",1323639139504
started,bundle,org.eclipse.xtext,1.0.2.v201102150722,"org.eclipse.xtext",1323639140206
started,bundle,org.eclipse.xtext.builder,1.0.2.v201102150722,"org.eclipse.xtext.builder",1323639140214
started,bundle,org.eclipse.xtext.ui.shared,1.0.2.v201102150722,"org.eclipse.xtext.ui.shared",1323639142556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639291926
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639295789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1323639295899
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1323639299216
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1323639299285
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1323639299500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639299916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639338315
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1323639368293
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1323639368776
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639372461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639392473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639393648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639419072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639421710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639433958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1323639433974
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323639439123
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1323639442782
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1323639442801
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1323639442892
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1323639442958
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1323639443052
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1323639443168
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1323639443197
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1323639443235
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1323639443332
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1323639443516
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1323639443694
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1323639443800
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1323639443864
